site_no,year,value,count
251922080340701,1994,0.9458333333333333,12
251922080340701,1995,0.8081818181818182,11
251922080340701,1996,1.0476923076923077,13
251922080340701,1997,1.0666666666666667,12
251922080340701,1998,1.11,8
251922080340701,1999,0.4375,4
251922080340701,2000,1.076,10
251922080340701,2001,1.2257142857142858,14
251922080340701,2002,1.386,5
251922080340701,2003,1.144,10
251922080340701,2004,1.5688888888888888,9
251922080340701,2005,0.7633333333333333,6
251922080340701,2006,1.1333333333333333,6
251922080340701,2007,1.28,4
251922080340701,2008,1.208,5
251922080340701,2009,1.19,4
251922080340701,2010,0.9249999999999999,6
251922080340701,2011,1.1914285714285715,7
251922080340701,2012,1.0619999999999998,5
251922080340701,2013,0.8683333333333333,6
251922080340701,2014,0.995,6
251922080340701,2015,0.9828571428571429,7
251922080340701,2016,0.5411111111111111,9
251922080340701,2017,0.972857142857143,7
251922080340701,2018,0.9183333333333333,6
251922080340701,2019,1.022,10
251922080340701,2020,0.6441176470588235,17
251922080340701,2021,0.9983333333333334,6
251922080340701,2022,0.53,8
251922080340701,2023,0.253,10
251922080340701,2024,0.42333333333333334,6
251922080340701,2025,1.2233333333333334,3
251925080335701,1984,-0.325,2
251925080335701,1985,-0.6030769230769231,13
251925080335701,1986,-0.5449999999999999,4
251925080335701,1990,-0.16999999999999998,5
251925080335701,1991,-0.505,4
251925080335701,1992,-0.05000000000000001,6
251925080335701,1993,-0.7766666666666667,6
251925080335701,1994,-0.635,12
251925080335701,1995,-0.8611111111111112,9
251949080313102,1994,2.2066666666666666,3
251949080313102,1995,2.5481818181818183,11
251949080313102,1996,2.63,13
251949080313102,1997,2.911111111111111,9
251952080293401,1996,0.8725,4
251952080293401,1997,0.9933333333333333,12
251952080293401,1998,0.9322222222222223,9
251957080312801,1984,-0.375,2
251957080312801,1985,-0.58,12
251957080312801,1986,-0.525,4
251957080312801,1990,-0.10600000000000001,5
251957080312801,1991,-0.5,4
251957080312801,1992,-0.325,6
251957080312801,1993,-0.7814285714285714,7
251957080312801,1994,-0.7075,12
